timestamp,plant_name,plant_type,capacity_mw,generation_mw,capacity_factor,latitude,longitude
2020-01-01 00:00:00,Chitradurga_Wind_Farm,wind,100,3.213,0.0321,14.2,76.4
2020-01-01 01:00:00,Chitradurga_Wind_Farm,wind,100,2.801,0.028,14.2,76.4
2020-01-01 02:00:00,Chitradurga_Wind_Farm,wind,100,3.628,0.0363,14.2,76.4
2020-01-01 03:00:00,Chitradurga_Wind_Farm,wind,100,3.594,0.0359,14.2,76.4
2020-01-01 04:00:00,Chitradurga_Wind_Farm,wind,100,1.453,0.0145,14.2,76.4
2020-01-01 05:00:00,Chitradurga_Wind_Farm,wind,100,4.639,0.0464,14.2,76.4
2020-01-01 06:00:00,Chitradurga_Wind_Farm,wind,100,7.355,0.0735,14.2,76.4
2020-01-01 07:00:00,Chitradurga_Wind_Farm,wind,100,2.507,0.0251,14.2,76.4
2020-01-01 08:00:00,Chitradurga_Wind_Farm,wind,100,1.502,0.015,14.2,76.4
2020-01-01 09:00:00,Chitradurga_Wind_Farm,wind,100,0.0,0.0,14.2,76.4
2020-01-01 10:00:00,Chitradurga_Wind_Farm,wind,100,7.277,0.0728,14.2,76.4
2020-01-01 11:00:00,Chitradurga_Wind_Farm,wind,100,5.677,0.0568,14.2,76.4
2020-01-01 12:00:00,Chitradurga_Wind_Farm,wind,100,18.223,0.1822,14.2,76.4
2020-01-01 13:00:00,Chitradurga_Wind_Farm,wind,100,6.173,0.0617,14.2,76.4
2020-01-01 14:00:00,Chitradurga_Wind_Farm,wind,100,0.758,0.0076,14.2,76.4
2020-01-01 15:00:00,Chitradurga_Wind_Farm,wind,100,0.8,0.008,14.2,76.4
2020-01-01 16:00:00,Chitradurga_Wind_Farm,wind,100,3.876,0.0388,14.2,76.4
2020-01-01 17:00:00,Chitradurga_Wind_Farm,wind,100,8.254,0.0825,14.2,76.4
2020-01-01 18:00:00,Chitradurga_Wind_Farm,wind,100,0.0,0.0,14.2,76.4
2020-01-01 19:00:00,Chitradurga_Wind_Farm,wind,100,9.501,0.095,14.2,76.4
2020-01-01 20:00:00,Chitradurga_Wind_Farm,wind,100,8.946,0.0895,14.2,76.4
2020-01-01 21:00:00,Chitradurga_Wind_Farm,wind,100,6.214,0.0621,14.2,76.4
2020-01-01 22:00:00,Chitradurga_Wind_Farm,wind,100,0.81,0.0081,14.2,76.4
2020-01-01 23:00:00,Chitradurga_Wind_Farm,wind,100,11.666,0.1167,14.2,76.4
2020-01-02 00:00:00,Chitradurga_Wind_Farm,wind,100,0.592,0.0059,14.2,76.4
2020-01-02 01:00:00,Chitradurga_Wind_Farm,wind,100,0.902,0.009,14.2,76.4
2020-01-02 02:00:00,Chitradurga_Wind_Farm,wind,100,0.0,0.0,14.2,76.4
2020-01-02 03:00:00,Chitradurga_Wind_Farm,wind,100,1.853,0.0185,14.2,76.4
2020-01-02 04:00:00,Chitradurga_Wind_Farm,wind,100,12.601,0.126,14.2,76.4
2020-01-02 05:00:00,Chitradurga_Wind_Farm,wind,100,0.0,0.0,14.2,76.4
2020-01-02 06:00:00,Chitradurga_Wind_Farm,wind,100,12.004,0.12,14.2,76.4
2020-01-02 07:00:00,Chitradurga_Wind_Farm,wind,100,6.105,0.0611,14.2,76.4
2020-01-02 08:00:00,Chitradurga_Wind_Farm,wind,100,12.464,0.1246,14.2,76.4
2020-01-02 09:00:00,Chitradurga_Wind_Farm,wind,100,3.949,0.0395,14.2,76.4
